"Breast Cancer"
"SEER Incidence Rates by Age at Diagnosis, 2013-2017"

Sex,Race/Ethnicity,"Rate Type",Age,"Rate per 100,000","Rate Standard Error","Rate Lower Confidence Interval","Rate Upper Confidence Interval"
Female,"White (includes Hispanic)","Delay-adjusted SEER Incidence Rate",5-9,-,-,-,-
Female,"White (includes Hispanic)","Delay-adjusted SEER Incidence Rate",10-14,-,-,-,-
Female,"White (includes Hispanic)","Delay-adjusted SEER Incidence Rate",15-19,0.1323,0.0312,0.0784,0.2090
Female,"White (includes Hispanic)","Delay-adjusted SEER Incidence Rate",20-24,1.5720,0.1043,1.3741,1.7902
Female,"White (includes Hispanic)","Delay-adjusted SEER Incidence Rate",25-29,9.9684,0.2608,9.4637,10.4929
Female,"White (includes Hispanic)","Delay-adjusted SEER Incidence Rate",30-34,29.1855,0.4533,28.3037,30.0878
Female,"White (includes Hispanic)","Delay-adjusted SEER Incidence Rate",35-39,64.1134,0.6925,62.7632,65.4852
Female,"White (includes Hispanic)","Delay-adjusted SEER Incidence Rate",40-44,132.2193,0.9940,130.2781,134.1821
Female,"White (includes Hispanic)","Delay-adjusted SEER Incidence Rate",45-49,200.9516,1.1840,198.6375,203.2858
Female,"White (includes Hispanic)","Delay-adjusted SEER Incidence Rate",50-54,240.5335,1.2515,238.0867,242.9991
Female,"White (includes Hispanic)","Delay-adjusted SEER Incidence Rate",55-59,273.6293,1.3412,271.0069,276.2707
Female,"White (includes Hispanic)","Delay-adjusted SEER Incidence Rate",60-64,352.5411,1.6150,349.3827,355.7209
Female,"White (includes Hispanic)","Delay-adjusted SEER Incidence Rate",65-69,445.3322,1.9696,441.4801,449.2095
Female,"White (includes Hispanic)","Delay-adjusted SEER Incidence Rate",70-74,494.1091,2.4072,489.4022,498.8499
Female,"White (includes Hispanic)","Delay-adjusted SEER Incidence Rate",75-79,485.2472,2.7948,479.7847,490.7562
Female,"White (includes Hispanic)","Delay-adjusted SEER Incidence Rate",80-84,437.2455,3.0135,431.3588,443.1923
Female,"White (includes Hispanic)","Delay-adjusted SEER Incidence Rate",85+,338.2731,2.3410,333.7002,342.8928
Male,"All Races (includes Hispanic)","Observed SEER Incidence Rate",<1,-,-,-,-
Male,"All Races (includes Hispanic)","Observed SEER Incidence Rate",1-4,-,-,-,-
Male,"All Races (includes Hispanic)","Observed SEER Incidence Rate",5-9,-,-,-,-
Male,"All Races (includes Hispanic)","Observed SEER Incidence Rate",10-14,-,-,-,-
Male,"All Races (includes Hispanic)","Observed SEER Incidence Rate",15-19,-,-,-,-
Male,"All Races (includes Hispanic)","Observed SEER Incidence Rate",20-24,-,-,-,-
Male,"All Races (includes Hispanic)","Observed SEER Incidence Rate",25-29,-,-,-,-
Male,"All Races (includes Hispanic)","Observed SEER Incidence Rate",30-34,0.1025,0.0224,0.0635,0.1568
Male,"All Races (includes Hispanic)","Observed SEER Incidence Rate",35-39,0.2218,0.0342,0.1598,0.2998
Male,"All Races (includes Hispanic)","Observed SEER Incidence Rate",40-44,0.4100,0.0470,0.3230,0.5132
Male,"All Races (includes Hispanic)","Observed SEER Incidence Rate",45-49,0.8043,0.0646,0.6827,0.9414
Male,"All Races (includes Hispanic)","Observed SEER Incidence Rate",50-54,1.2408,0.0790,1.0909,1.4056
Male,"All Races (includes Hispanic)","Observed SEER Incidence Rate",55-59,2.1035,0.1052,1.9024,2.3201
Male,"All Races (includes Hispanic)","Observed SEER Incidence Rate",60-64,3.0552,0.1376,2.7915,3.3372
Male,"All Races (includes Hispanic)","Observed SEER Incidence Rate",65-69,4.6259,0.1884,4.2640,5.0103
Male,"All Races (includes Hispanic)","Observed SEER Incidence Rate",70-74,5.9720,0.2565,5.4797,6.4966
Male,"All Races (includes Hispanic)","Observed SEER Incidence Rate",75-79,7.0675,0.3392,6.4181,7.7647
Male,"All Races (includes Hispanic)","Observed SEER Incidence Rate",80-84,8.9549,0.4630,8.0703,9.9101
Male,"All Races (includes Hispanic)","Observed SEER Incidence Rate",85+,7.9160,0.4503,7.0579,8.8497
Male,"All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",<1,-,-,-,-
Male,"All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",1-4,-,-,-,-
Male,"All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",5-9,-,-,-,-
Male,"All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",10-14,-,-,-,-
Male,"All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",15-19,-,-,-,-
Male,"All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",20-24,-,-,-,-
Male,"All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",25-29,-,-,-,-
Male,"All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",30-34,-,-,-,-
Male,"All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",35-39,-,-,-,-
Male,"All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",40-44,-,-,-,-
Male,"All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",45-49,-,-,-,-
Male,"All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",50-54,-,-,-,-
Male,"All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",55-59,-,-,-,-
Male,"All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",60-64,-,-,-,-
Male,"All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",65-69,-,-,-,-
Male,"All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",70-74,-,-,-,-
Male,"All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",75-79,-,-,-,-
Male,"All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",80-84,-,-,-,-
Male,"All Races (includes Hispanic)","Delay-adjusted SEER Incidence Rate",85+,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",<1,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",1-4,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",5-9,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",10-14,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",15-19,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",20-24,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",25-29,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",30-34,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",35-39,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",40-44,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",45-49,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",50-54,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",55-59,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",60-64,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",65-69,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",70-74,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",75-79,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",80-84,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",85+,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",<1,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",1-4,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",5-9,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",10-14,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",15-19,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",20-24,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",25-29,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",30-34,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",35-39,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",40-44,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",45-49,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",50-54,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",55-59,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",60-64,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",65-69,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",70-74,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",75-79,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",80-84,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",85+,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",<1,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",1-4,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",5-9,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",10-14,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",15-19,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",20-24,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",25-29,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",30-34,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",35-39,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",40-44,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",45-49,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",50-54,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",55-59,1.4676,0.2935,0.9497,2.1664
Male,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",60-64,1.3945,0.3118,0.8518,2.1537
Male,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",65-69,2.1126,0.4312,1.3536,3.1435
Male,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",70-74,3.8530,0.7035,2.5996,5.5005
Male,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",75-79,3.0671,0.7439,1.7867,4.9107
Male,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",80-84,5.2679,1.2085,3.1716,8.2264
Male,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",85+,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",<1,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",1-4,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",5-9,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",10-14,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",15-19,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",20-24,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",25-29,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",30-34,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",35-39,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",40-44,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",45-49,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",50-54,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",55-59,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",60-64,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",65-69,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",70-74,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",75-79,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",80-84,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",85+,-,-,-,-
Male,"Black (includes Hispanic)","Observed SEER Incidence Rate",<1,-,-,-,-
Male,"Black (includes Hispanic)","Observed SEER Incidence Rate",1-4,-,-,-,-
Male,"Black (includes Hispanic)","Observed SEER Incidence Rate",5-9,-,-,-,-
Male,"Black (includes Hispanic)","Observed SEER Incidence Rate",10-14,-,-,-,-
Male,"Black (includes Hispanic)","Observed SEER Incidence Rate",15-19,-,-,-,-
Male,"Black (includes Hispanic)","Observed SEER Incidence Rate",20-24,-,-,-,-
Male,"Black (includes Hispanic)","Observed SEER Incidence Rate",25-29,-,-,-,-
Male,"Black (includes Hispanic)","Observed SEER Incidence Rate",30-34,-,-,-,-
Male,"Black (includes Hispanic)","Observed SEER Incidence Rate",35-39,-,-,-,-
Male,"Black (includes Hispanic)","Observed SEER Incidence Rate",40-44,1.0322,0.2107,0.6613,1.5358
Male,"Black (includes Hispanic)","Observed SEER Incidence Rate",45-49,1.5872,0.2575,1.1232,2.1785
Male,"Black (includes Hispanic)","Observed SEER Incidence Rate",50-54,1.8955,0.2795,1.3877,2.5283
Male,"Black (includes Hispanic)","Observed SEER Incidence Rate",55-59,3.6351,0.4064,2.8824,4.5242
Male,"Black (includes Hispanic)","Observed SEER Incidence Rate",60-64,4.2170,0.4970,3.2996,5.3107
Male,"Black (includes Hispanic)","Observed SEER Incidence Rate",65-69,7.6563,0.7855,6.1944,9.3594
Male,"Black (includes Hispanic)","Observed SEER Incidence Rate",70-74,8.2920,1.0130,6.4262,10.5305
Male,"Black (includes Hispanic)","Observed SEER Incidence Rate",75-79,8.6873,1.2809,6.3602,11.5877
Male,"Black (includes Hispanic)","Observed SEER Incidence Rate",80-84,10.3672,1.8047,7.1363,14.5594
Male,"Black (includes Hispanic)","Observed SEER Incidence Rate",85+,10.0379,1.9686,6.5571,14.7079
Male,"Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",<1,-,-,-,-
Male,"Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",1-4,-,-,-,-
Male,"Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",5-9,-,-,-,-
Male,"Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",10-14,-,-,-,-
Male,"Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",15-19,-,-,-,-
Male,"Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",20-24,-,-,-,-
Male,"Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",25-29,-,-,-,-
Male,"Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",30-34,-,-,-,-
Male,"Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",35-39,-,-,-,-
Male,"Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",40-44,-,-,-,-
Male,"Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",45-49,-,-,-,-
Male,"Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",50-54,-,-,-,-
Male,"Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",55-59,-,-,-,-
Male,"Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",60-64,-,-,-,-
Male,"Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",65-69,-,-,-,-
Male,"Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",70-74,-,-,-,-
Male,"Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",75-79,-,-,-,-
Male,"Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",80-84,-,-,-,-
Male,"Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",85+,-,-,-,-
Male,"Hispanic (any race)","Observed SEER Incidence Rate",<1,-,-,-,-
Male,"Hispanic (any race)","Observed SEER Incidence Rate",1-4,-,-,-,-
Male,"Hispanic (any race)","Observed SEER Incidence Rate",5-9,-,-,-,-
Male,"Hispanic (any race)","Observed SEER Incidence Rate",10-14,-,-,-,-
Male,"Hispanic (any race)","Observed SEER Incidence Rate",15-19,-,-,-,-
Male,"Hispanic (any race)","Observed SEER Incidence Rate",20-24,-,-,-,-
Male,"Hispanic (any race)","Observed SEER Incidence Rate",25-29,-,-,-,-
Male,"Hispanic (any race)","Observed SEER Incidence Rate",30-34,-,-,-,-
Male,"Hispanic (any race)","Observed SEER Incidence Rate",35-39,-,-,-,-
Male,"Hispanic (any race)","Observed SEER Incidence Rate",40-44,-,-,-,-
Male,"Hispanic (any race)","Observed SEER Incidence Rate",45-49,0.5890,0.1202,0.3774,0.8764
Male,"Hispanic (any race)","Observed SEER Incidence Rate",50-54,0.7727,0.1487,0.5092,1.1243
Male,"Hispanic (any race)","Observed SEER Incidence Rate",55-59,1.0451,0.1941,0.6999,1.5010
Male,"Hispanic (any race)","Observed SEER Incidence Rate",60-64,1.5316,0.2751,1.0407,2.1740
Male,"Hispanic (any race)","Observed SEER Incidence Rate",65-69,2.3232,0.4044,1.5992,3.2626
Male,"Hispanic (any race)","Observed SEER Incidence Rate",70-74,3.0456,0.5756,2.0238,4.4017
Male,"Hispanic (any race)","Observed SEER Incidence Rate",75-79,4.2200,0.8276,2.7566,6.1833
Male,"Hispanic (any race)","Observed SEER Incidence Rate",80-84,7.7970,1.4004,5.2977,11.0673
Male,"Hispanic (any race)","Observed SEER Incidence Rate",85+,4.6020,1.1505,2.6305,7.4734
Male,"Hispanic (any race)","Delay-adjusted SEER Incidence Rate",<1,-,-,-,-
Male,"Hispanic (any race)","Delay-adjusted SEER Incidence Rate",1-4,-,-,-,-
Male,"Hispanic (any race)","Delay-adjusted SEER Incidence Rate",5-9,-,-,-,-
Male,"Hispanic (any race)","Delay-adjusted SEER Incidence Rate",10-14,-,-,-,-
Male,"Hispanic (any race)","Delay-adjusted SEER Incidence Rate",15-19,-,-,-,-
Male,"Hispanic (any race)","Delay-adjusted SEER Incidence Rate",20-24,-,-,-,-
Male,"Hispanic (any race)","Delay-adjusted SEER Incidence Rate",25-29,-,-,-,-
Male,"Hispanic (any race)","Delay-adjusted SEER Incidence Rate",30-34,-,-,-,-
Male,"Hispanic (any race)","Delay-adjusted SEER Incidence Rate",35-39,-,-,-,-
Male,"Hispanic (any race)","Delay-adjusted SEER Incidence Rate",40-44,-,-,-,-
Male,"Hispanic (any race)","Delay-adjusted SEER Incidence Rate",45-49,-,-,-,-
Male,"Hispanic (any race)","Delay-adjusted SEER Incidence Rate",50-54,-,-,-,-
Male,"Hispanic (any race)","Delay-adjusted SEER Incidence Rate",55-59,-,-,-,-
Male,"Hispanic (any race)","Delay-adjusted SEER Incidence Rate",60-64,-,-,-,-
Male,"Hispanic (any race)","Delay-adjusted SEER Incidence Rate",65-69,-,-,-,-
Male,"Hispanic (any race)","Delay-adjusted SEER Incidence Rate",70-74,-,-,-,-
Male,"Hispanic (any race)","Delay-adjusted SEER Incidence Rate",75-79,-,-,-,-
Male,"Hispanic (any race)","Delay-adjusted SEER Incidence Rate",80-84,-,-,-,-
Male,"Hispanic (any race)","Delay-adjusted SEER Incidence Rate",85+,-,-,-,-
Male,"Non-Hispanic White","Observed SEER Incidence Rate",<1,-,-,-,-
Male,"Non-Hispanic White","Observed SEER Incidence Rate",1-4,-,-,-,-
Male,"Non-Hispanic White","Observed SEER Incidence Rate",5-9,-,-,-,-
Male,"Non-Hispanic White","Observed SEER Incidence Rate",10-14,-,-,-,-
Male,"Non-Hispanic White","Observed SEER Incidence Rate",15-19,-,-,-,-
Male,"Non-Hispanic White","Observed SEER Incidence Rate",20-24,-,-,-,-
Male,"Non-Hispanic White","Observed SEER Incidence Rate",25-29,-,-,-,-
Male,"Non-Hispanic White","Observed SEER Incidence Rate",30-34,-,-,-,-
Male,"Non-Hispanic White","Observed SEER Incidence Rate",35-39,0.1761,0.0427,0.1026,0.2820
Male,"Non-Hispanic White","Observed SEER Incidence Rate",40-44,0.3784,0.0622,0.2665,0.5216
Male,"Non-Hispanic White","Observed SEER Incidence Rate",45-49,0.7483,0.0826,0.5952,0.9289
Male,"Non-Hispanic White","Observed SEER Incidence Rate",50-54,1.3497,0.1051,1.1517,1.5721
Male,"Non-Hispanic White","Observed SEER Incidence Rate",55-59,2.1346,0.1311,1.8853,2.4077
Male,"Non-Hispanic White","Observed SEER Incidence Rate",60-64,3.3127,0.1734,2.9815,3.6706
Male,"Non-Hispanic White","Observed SEER Incidence Rate",65-69,4.8461,0.2287,4.4082,5.3158
Male,"Non-Hispanic White","Observed SEER Incidence Rate",70-74,6.3023,0.3094,5.7105,6.9388
Male,"Non-Hispanic White","Observed SEER Incidence Rate",75-79,7.7498,0.4172,6.9535,8.6123
Male,"Non-Hispanic White","Observed SEER Incidence Rate",80-84,9.3973,0.5499,8.3502,10.5393
Male,"Non-Hispanic White","Observed SEER Incidence Rate",85+,8.6409,0.5390,7.6166,9.7645
Male,"Non-Hispanic White","Delay-adjusted SEER Incidence Rate",<1,-,-,-,-
Male,"Non-Hispanic White","Delay-adjusted SEER Incidence Rate",1-4,-,-,-,-
Male,"Non-Hispanic White","Delay-adjusted SEER Incidence Rate",5-9,-,-,-,-
Male,"Non-Hispanic White","Delay-adjusted SEER Incidence Rate",10-14,-,-,-,-
Male,"Non-Hispanic White","Delay-adjusted SEER Incidence Rate",15-19,-,-,-,-
Male,"Non-Hispanic White","Delay-adjusted SEER Incidence Rate",20-24,-,-,-,-
Male,"Non-Hispanic White","Delay-adjusted SEER Incidence Rate",25-29,-,-,-,-
Male,"Non-Hispanic White","Delay-adjusted SEER Incidence Rate",30-34,-,-,-,-
Male,"Non-Hispanic White","Delay-adjusted SEER Incidence Rate",35-39,-,-,-,-
Male,"Non-Hispanic White","Delay-adjusted SEER Incidence Rate",40-44,-,-,-,-
Male,"Non-Hispanic White","Delay-adjusted SEER Incidence Rate",45-49,-,-,-,-
Male,"Non-Hispanic White","Delay-adjusted SEER Incidence Rate",50-54,-,-,-,-
Male,"Non-Hispanic White","Delay-adjusted SEER Incidence Rate",55-59,-,-,-,-
Male,"Non-Hispanic White","Delay-adjusted SEER Incidence Rate",60-64,-,-,-,-
Male,"Non-Hispanic White","Delay-adjusted SEER Incidence Rate",65-69,-,-,-,-
Male,"Non-Hispanic White","Delay-adjusted SEER Incidence Rate",70-74,-,-,-,-
Male,"Non-Hispanic White","Delay-adjusted SEER Incidence Rate",75-79,-,-,-,-
Male,"Non-Hispanic White","Delay-adjusted SEER Incidence Rate",80-84,-,-,-,-
Male,"Non-Hispanic White","Delay-adjusted SEER Incidence Rate",85+,-,-,-,-
Male,"White (includes Hispanic)","Observed SEER Incidence Rate",<1,-,-,-,-
Male,"White (includes Hispanic)","Observed SEER Incidence Rate",1-4,-,-,-,-
Male,"White (includes Hispanic)","Observed SEER Incidence Rate",5-9,-,-,-,-
Male,"White (includes Hispanic)","Observed SEER Incidence Rate",10-14,-,-,-,-
Male,"White (includes Hispanic)","Observed SEER Incidence Rate",15-19,-,-,-,-
Male,"White (includes Hispanic)","Observed SEER Incidence Rate",20-24,-,-,-,-
Male,"White (includes Hispanic)","Observed SEER Incidence Rate",25-29,-,-,-,-
Male,"White (includes Hispanic)","Observed SEER Incidence Rate",30-34,-,-,-,-
Male,"White (includes Hispanic)","Observed SEER Incidence Rate",35-39,0.1649,0.0344,0.1045,0.2475
Male,"White (includes Hispanic)","Observed SEER Incidence Rate",40-44,0.3422,0.0499,0.2514,0.4551
Male,"White (includes Hispanic)","Observed SEER Incidence Rate",45-49,0.7130,0.0699,0.5826,0.8639
Male,"White (includes Hispanic)","Observed SEER Incidence Rate",50-54,1.2198,0.0892,1.0512,1.4077
Male,"White (includes Hispanic)","Observed SEER Incidence Rate",55-59,1.9291,0.1139,1.7124,2.1657
Male,"White (includes Hispanic)","Observed SEER Incidence Rate",60-64,3.0662,0.1547,2.7705,3.3849
Male,"White (includes Hispanic)","Observed SEER Incidence Rate",65-69,4.5481,0.2078,4.1499,4.9742
Male,"White (includes Hispanic)","Observed SEER Incidence Rate",70-74,5.9382,0.2831,5.3963,6.5199
Male,"White (includes Hispanic)","Observed SEER Incidence Rate",75-79,7.3696,0.3836,6.6368,8.1613
Male,"White (includes Hispanic)","Observed SEER Incidence Rate",80-84,9.1960,0.5149,8.2145,10.2626
Male,"White (includes Hispanic)","Observed SEER Incidence Rate",85+,8.2924,0.5019,7.3378,9.3367
Male,"White (includes Hispanic)","Delay-adjusted SEER Incidence Rate",<1,-,-,-,-
Male,"White (includes Hispanic)","Delay-adjusted SEER Incidence Rate",1-4,-,-,-,-
Male,"White (includes Hispanic)","Delay-adjusted SEER Incidence Rate",5-9,-,-,-,-
Male,"White (includes Hispanic)","Delay-adjusted SEER Incidence Rate",10-14,-,-,-,-
Male,"White (includes Hispanic)","Delay-adjusted SEER Incidence Rate",15-19,-,-,-,-
Male,"White (includes Hispanic)","Delay-adjusted SEER Incidence Rate",20-24,-,-,-,-
Male,"White (includes Hispanic)","Delay-adjusted SEER Incidence Rate",25-29,-,-,-,-
Male,"White (includes Hispanic)","Delay-adjusted SEER Incidence Rate",30-34,-,-,-,-
Male,"White (includes Hispanic)","Delay-adjusted SEER Incidence Rate",35-39,-,-,-,-
Male,"White (includes Hispanic)","Delay-adjusted SEER Incidence Rate",40-44,-,-,-,-
Male,"White (includes Hispanic)","Delay-adjusted SEER Incidence Rate",45-49,-,-,-,-
Male,"White (includes Hispanic)","Delay-adjusted SEER Incidence Rate",50-54,-,-,-,-
Male,"White (includes Hispanic)","Delay-adjusted SEER Incidence Rate",55-59,-,-,-,-
Male,"White (includes Hispanic)","Delay-adjusted SEER Incidence Rate",60-64,-,-,-,-
Male,"White (includes Hispanic)","Delay-adjusted SEER Incidence Rate",65-69,-,-,-,-
Male,"White (includes Hispanic)","Delay-adjusted SEER Incidence Rate",70-74,-,-,-,-
